@relation .//99.1x1.arff-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1

@attribute ID string
@attribute tesis {0,1}
@attribute linkedin {0,1}
@attribute publication {0,1}
@attribute email {0,1}
@attribute world_nat {0,1}
@attribute latin_nat {0,1}
@attribute name_in_http {0,1}
@attribute cv {0,1}
@attribute degree {0,1}
@attribute prof {0,1}
@attribute bio {0,1}
@attribute accro {0,1}
@attribute city {0,1}
@attribute country {0,1}
@attribute org {0,1}
@attribute feature_count {0,1,2,3,4,5,6,7,8,9}
@attribute class {0,1,2}

@data

2300912,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0
2302968,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2343044,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0
2378572,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0
2378503,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2361521,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
2356779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2302021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
2311886,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2320321,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,7,0
2383193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2413319,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0
2382686,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2322143,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,5,0
2382456,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2431835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2444822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2415568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2363826,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,0
2272164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
2393657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2275502,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0
2422726,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,0
2299058,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2273916,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2395820,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
2403951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2299169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2293607,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
2310377,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,6,0
2469947,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2373064,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2457641,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
2336526,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0
2326806,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2487052,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2290765,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2319521,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2330844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410579,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0
2387301,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0
2390470,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
2305896,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0
2464601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2452665,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,4,0
2276117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2395152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2279176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2283821,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0
2446694,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0
2304624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2275040,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2458195,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
2432411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2286700,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0
2400884,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,5,0
2484936,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,6,0
2328438,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0
2305526,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2304561,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0
2483111,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0
2459014,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0
2337924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2442838,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0
2397280,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0
2392852,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0
2385252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2427885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2458214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2422331,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0
2295476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2425336,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0
2390398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2479583,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0
2465674,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
2442774,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2277078,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
2289414,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0
2371343,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0
2457692,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0
2309802,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0
2457041,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2292778,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0
2394278,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2337756,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2397249,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0
2403953,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,5,0
2318500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2347674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2277012,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
